Profondeur,Abies,Cupressaceae,Larix,Picea,Pinus,Alnus,Betula,Fraxinus,Populus,Quercus,Salix,Ulmus,Ambrosia,Artemisia,Asteraceae,Chenopodium,Cyperaceae,Myrica,Poacea,Typha,Aquatics
6538,0,2.193346592,0.068999206,1.20154813,48.68327027,3.514085314,11.85997187,0,1.447383796,5.133175815,0.574262144,0.868904325,3.634617779,3.253232551,0.465596581,1.988208621,1.138006646,0.165265913,8.755482089,0.627908098,0.868633569
6638,0,1.963957248,0.007937962,1.622523034,47.05756396,4.112113987,10.9992261,0,0.864590076,5.698742528,0.767284144,0.711764079,4.76170578,4.022360226,0.717060355,1.808959861,1.011133225,0.102420598,8.688825891,0.53505334,0.691571584
6738,0,1.794645271,0.052926469,2.269484462,45.76655266,4.497372985,10.5734008,0,1.25476989,6.377900627,0.96342967,0.656073404,5.5187219,4.748329671,0.661277684,1.834291034,0.951791792,0.200802014,7.519630446,0.547952147,0.786002382
6838,0.278873308,2.444725763,0.081668812,2.312253905,47.9887962,3.560847761,10.01379871,0,1.372969222,5.819239006,0.895774566,0.514293393,5.326174045,4.316433437,0.753982856,2.334969802,1.075390959,0.259855569,7.090072325,0.672514471,0.904276324
6938,0.627464943,3.488866632,0.03552824,1.821555787,49.98576819,2.647860524,9.635214274,0,0.761476574,4.77383919,0.758234699,0.368919123,5.670156163,3.557209737,0.986191942,3.022379051,1.304445914,0.170930963,7.315953624,0.765200429,0.919219679
7038,0.809541823,4.185353147,0,1.482669374,51.41852431,2.168881668,10.02014089,0.053931978,0.433157205,4.044850821,0.842715396,0.466864782,5.83752918,3.146510691,0.923033257,3.324238409,1.185523426,0.090311813,7.379392346,0.742694406,0.54099205
7138,0.492074442,3.758430477,0,1.798884322,52.82039549,1.80914225,9.38440381,0.055372469,0.929832599,3.968683074,0.689743668,0.461150595,5.430710571,3.441817661,0.92047178,2.756733305,0.88617508,0.037497887,7.147696218,0.797823669,0.547457113
7238,0.17460706,3.38166405,0.009484315,1.909902989,53.19227517,1.42810303,8.603687874,0.030008687,1.319697345,3.592646383,0.309520101,0.329202368,5.343406499,3.890666491,1.040427326,2.446870623,0.769686589,0.009484315,7.306240324,0.832416182,0.747284583
7338,0.098046072,2.979882656,0.042188849,1.290238213,52.69417158,1.65531142,9.114101716,0.104434098,1.503610828,2.543458538,0.322286612,0.42160613,5.657100529,4.549766496,0.813012638,2.669576231,0.630521731,0.042188849,7.151365982,0.510026952,0.272752823
7438,0.315926232,2.39744302,0.074893383,1.424980744,51.10895246,1.9426252,11.21569707,0.031910419,1.865795686,1.837094032,0.607777866,0.482483062,5.90910042,4.746904362,0.734591839,2.63723819,0.787299852,0.074893383,6.17036922,0.428263833,0.178264019
7538,0.444475527,2.493696657,0.096608973,1.56883155,51.81561223,2.133754747,11.33533981,0,1.769802685,1.383899471,0.827545845,0.387397049,6.202982515,4.44947258,0.671054659,2.392342356,0.84405321,0.096608973,5.36780606,0.451448007,0.138347365
7638,0.445663881,3.55010908,0.096013677,1.801342996,54.34288884,2.1525096,10.02317814,0.001188354,1.154551158,1.16801639,1.003570343,0.204575935,6.465131813,3.709082432,0.668376603,1.909240558,0.732911805,0.096013677,4.859086231,0.528181799,0.262991623
7738,0.505081588,4.480578178,0.09541838,2.347003033,52.18952394,2.342065679,11.94685809,0.060606061,0.851126595,0.934875028,1.301081017,0.439985547,5.62367208,3.767604588,0.661811716,1.782253305,0.666628302,0.09541838,5.035282267,0.402343992,0.683810112
7838,0.530859731,4.83124373,0.114301711,2.958801983,52.14705795,2.133226791,12.92528884,0.086384204,0.600466167,0.763903369,1.328263662,0.558990862,4.357452595,3.713707786,0.676523475,1.774396975,0.631446855,0.090923466,5.478374713,0.310165146,0.735677252
7938,0.485153803,4.567697452,0.211412822,3.95803452,54.47484564,1.632257811,12.24302658,0.040678276,0.520965317,0.731605544,1.154722817,0.569440452,3.126819355,3.321566794,0.506641501,1.920597557,0.685971592,0.046999086,5.768898138,0.502407716,0.351750222
8038,0.453999094,4.313284476,0.298326468,4.877538309,56.63991766,1.197754391,11.55248495,0,0.415692088,0.719140997,0.981707874,0.604820666,2.08190077,2.914645412,0.336169356,2.076537309,0.724189085,0.003074707,6.041656991,0.704323055,0.004994914
8138,0.612725216,4.068655352,0.422461302,3.741108578,55.84754225,1.73074579,12.72267848,0,0.306145261,0.644286106,0.856097334,1.116473729,3.154615065,2.933375137,0.512198451,2.309174158,0.999542691,0,5.671742193,0.264596334,0.135146937
8238,0.771451338,3.842474467,0.321311941,2.81006563,58.18979747,2.181547163,12.02451688,0,0.211971966,0.87579532,0.730486793,0.541182919,3.745758893,1.874707969,0.698410142,2.204492462,1.814666699,0,5.9122401,0.397636744,0.099846952
8338,0.930179428,3.241694407,0.308103227,3.288571056,60.80674616,1.515611314,12.1198745,0,0.585730693,0.988625325,0.666670905,0.419664709,2.675311537,2.427766585,0.613997942,2.239581868,0.922025867,0.074568289,4.54553478,0.250598806,0.093064885
8438,1.088913119,2.929303935,0.284389963,4.466743735,58.36965556,2.068718147,12.56293454,0,0.5067155,1.042608169,0.666670905,0.448655926,3.404949673,2.970526798,0.378822056,2.682853697,0.662972269,0.060061999,4.083511596,0.287061381,0.164265964
8538,1.24764681,2.606630715,0.26265396,4.388677793,56.63543841,2.924437442,13.82266428,0,0.382905352,1.134616182,0.697698284,0.401198406,3.66395085,3.30082172,0.105610665,2.809764793,0.920549927,0,3.894447599,0.47588459,0.204809678
8638,1.155585508,2.378967363,0.325927549,3.613743653,58.72143662,2.958820614,12.78007317,0,0.626304165,1.223456078,0.715307607,0.279526555,3.025977014,3.175620362,0.225547429,2.496299801,0.923597761,0,3.666193107,0.65877121,0.204123405
8738,0.769112692,2.319065688,0.181543407,4.218092765,61.00918219,2.181025113,11.0846418,0,0.809360735,1.074323675,0.567921106,0.224619905,2.121357806,2.803168387,0.433918031,2.104944595,0.615600527,0,4.084435677,0.511689066,0.133126371
8838,0.487442897,2.375019778,0.124529904,4.997221369,61.37286925,1.24750166,10.55035764,0,0.761633916,0.973463183,0.498153207,0.331248704,1.661292078,2.835316633,0.525276428,2.058260302,0.53017902,0,4.232414144,0.256186051,0.04845643
