,CODE,TaxonName
C,C1,Abies
C,C2,Cupressaceae
C,C3,Larix
C,C4,Picea
C,C5,Pinus
D,D1,Alnus
D,D1,Betula
D,D1,Fraxinus
D,D1,Populus
D,D1,Quercus
D,D1,Salix
D,D1,Ulmus
HS,HS1,Ambrosia
HS,HS1,Artemisia
HS,HS1,Asteraceae
HS,HS1,Chenopodium
HS,HS1,Cyperaceae
HS,HS1,Myrica
HS,HS1,Poacea
HS,HS1,Typha
A,A1,Aquatics
