Age,human
1569,15.17108969
1570,15.15658231
1571,15.14207336
1572,15.12756568
1573,15.11306212
1574,15.09856553
1575,15.08407877
1576,15.0696047
1577,15.05514619
1578,15.04070609
1579,15.0262873
1580,15.01189268
1581,14.99752511
1582,14.98318749
1583,14.9688827
1584,14.95461363
1585,14.9403832
1586,14.92619429
1587,14.91204983
1588,14.89795271
1589,14.88390586
1590,14.86991219
1591,14.85597464
1592,14.84209612
1593,14.82827958
1594,14.81452794
1595,14.80084416
1596,14.78723117
1597,14.77369194
1598,14.7602294
1599,14.74684653
1600,14.73354628
1601,14.72033162
1602,14.70720552
1603,14.69417096
1604,14.68123092
1605,14.66838838
1606,14.65564634
1607,14.64300778
1608,14.6304757
1609,14.6180531
1610,14.60574299
1611,14.59354838
1612,14.58147229
1613,14.56956514
1614,14.55787246
1615,14.54638991
1616,14.53511314
1617,14.52403782
1618,14.51315956
1619,14.50247401
1620,14.4919768
1621,14.48166354
1622,14.47152984
1623,14.46157132
1624,14.45178358
1625,14.4421622
1626,14.43270278
1627,14.42340088
1628,14.4142521
1629,14.40525198
1630,14.3963961
1631,14.38767999
1632,14.37909922
1633,14.37064931
1634,14.36232581
1635,14.35412423
1636,14.34604009
1637,14.3380689
1638,14.33020618
1639,14.32244741
1640,14.31478809
1641,14.30722371
1642,14.29974973
1643,14.29236164
1644,14.2850549
1645,14.27782496
1646,14.27066727
1647,14.26357728
1648,14.25655043
1649,14.24958214
1650,14.24266784
1651,14.23580294
1652,14.22898286
1653,14.222203
1654,14.21545875
1655,14.2087455
1656,14.20205864
1657,14.19539354
1658,14.18874557
1659,14.18211009
1660,14.17548246
1661,14.16885803
1662,14.16223213
1663,14.15560011
