Age,AnnTemp,,,
4.5,-0.124982824,,,
14.5,-0.117564181,,,
24.5,-0.139317169,,,
34.5,-0.203636749,,,
44.5,-0.202569045,,,
54.5,-0.189250162,,,
64.5,-0.172261408,,,
74.5,-0.166544977,,,
84.5,-0.194805899,,,
94.5,-0.169753918,,,
104.5,-0.147586927,,,
114.5,-0.205418613,,,
124.5,-0.200006979,,,
134.5,-0.260405783,,,
144.5,-0.249365543,,,
154.5,-0.244651962,,,
164.5,-0.270274082,,,
174.5,-0.256920072,,,
184.5,-0.25807778,,,
194.5,-0.257695374,,,
204.5,-0.2591786,,,
214.5,-0.245399628,,,
224.5,-0.23735852,,,
234.5,-0.230001089,,,
244.5,-0.208522535,,,
254.5,-0.225376746,,,
264.5,-0.197105784,,,
274.5,-0.184114549,,,
284.5,-0.230623973,,,
294.5,-0.277303954,,,
304.5,-0.30009791,,,
314.5,-0.291419689,,,
324.5,-0.319504488,,,
334.5,-0.303355951,,,
344.5,-0.292608319,,,
354.5,-0.287260509,,,
364.5,-0.272725654,,,
374.5,-0.205187395,,,
384.5,-0.171536108,,,
394.5,-0.193726386,,,
404.5,-0.182590193,,,
414.5,-0.180373569,,,
424.5,-0.216310188,,,
434.5,-0.249617943,,,
444.5,-0.25299049,,,
454.5,-0.242926591,,,
464.5,-0.202807558,,,
474.5,-0.213908742,,,
484.5,-0.200696698,,,
494.5,-0.189278259,,,
504.5,-0.206603307,,,
514.5,-0.22201859,,,
524.5,-0.227212166,,,
534.5,-0.205093512,,,
544.5,-0.175144042,,,
554.5,-0.163062433,,,
564.5,-0.160524915,,,
574.5,-0.189535984,,,
584.5,-0.145746399,,,
594.5,-0.184899078,,,
604.5,-0.204402347,,,
614.5,-0.229616721,,,
624.5,-0.229856893,,,
634.5,-0.209807482,,,
644.5,-0.201287037,,,
654.5,-0.195294843,,,
664.5,-0.204334285,,,
674.5,-0.231640909,,,
684.5,-0.226734651,,,
694.5,-0.21867612,,,
704.5,-0.185567924,,,
714.5,-0.217796655,,,
724.5,-0.217849861,,,
734.5,-0.228748133,,,
744.5,-0.215707899,,,
754.5,-0.205708137,,,
764.5,-0.208891978,,,
774.5,-0.201565185,,,
784.5,-0.198396592,,,
794.5,-0.193505686,,,
804.5,-0.214900512,,,
814.5,-0.233966968,,,
824.5,-0.233438794,,,
834.5,-0.220961072,,,
844.5,-0.192971018,,,
854.5,-0.159043576,,,
864.5,-0.172941762,,,
874.5,-0.169802301,,,
884.5,-0.166290627,,,
894.5,-0.164852958,,,
904.5,-0.164123253,,,
914.5,-0.170642802,,,
924.5,-0.160215622,,,
934.5,-0.171929045,,,
944.5,-0.149314723,,,
954.5,-0.154414073,,,
964.5,-0.151706224,,,
974.5,-0.14252724,,,
984.5,-0.12938277,,,
994.5,-0.147246259,,,
1004.5,-0.155423665,,,
1014.5,-0.131353423,,,
1024.5,-0.120154951,,,
1034.5,-0.118789675,,,
1044.5,-0.138533492,,,
1054.5,-0.151485242,,,
1064.5,-0.151232611,,,
1074.5,-0.154204981,,,
1084.5,-0.162111271,,,
1094.5,-0.174555615,,,
1104.5,-0.164056132,,,
1114.5,-0.136363189,,,
1124.5,-0.116705582,,,
1134.5,-0.13323761,,,
1144.5,-0.125275426,,,
1154.5,-0.120650245,,,
1164.5,-0.107085836,,,
1174.5,-0.090862484,,,
1184.5,-0.082985931,,,
1194.5,-0.104922215,,,
1204.5,-0.127316995,,,
1214.5,-0.107305061,,,
1224.5,-0.13294788,,,
1234.5,-0.142475779,,,
1244.5,-0.123524722,,,
1254.5,-0.113607051,,,
1264.5,-0.134563961,,,
1274.5,-0.117793344,,,
1284.5,-0.133468797,,,
1294.5,-0.143682001,,,
1304.5,-0.159498263,,,
1314.5,-0.182030349,,,
1324.5,-0.184661657,,,
1334.5,-0.175960705,,,
1344.5,-0.170722881,,,
1354.5,-0.161318415,,,
1364.5,-0.205212764,,,
1374.5,-0.202477538,,,
1384.5,-0.217088339,,,
1394.5,-0.206155842,,,
1404.5,-0.189354889,,,
1414.5,-0.152392775,,,
1424.5,-0.13511586,,,
1434.5,-0.123510001,,,
1444.5,-0.083411414,,,
1454.5,-0.085339513,,,
1464.5,-0.105430113,,,
1474.5,-0.132603005,,,
1484.5,-0.147896846,,,
1494.5,-0.156503819,,,
1504.5,-0.141321756,,,
1514.5,-0.124926555,,,
1524.5,-0.105446097,,,
1534.5,-0.080211363,,,
1544.5,-0.034888722,,,
1554.5,-0.058369869,,,
1564.5,-0.039532267,,,
1574.5,-0.020718485,,,
1584.5,-0.055955232,,,
1594.5,-0.097711495,,,
1604.5,-0.093026341,,,
1614.5,-0.083987396,,,
1624.5,-0.105165454,,,
1634.5,-0.116939394,,,
1644.5,-0.138496673,,,
1654.5,-0.142947304,,,
1664.5,-0.150363414,,,
1674.5,-0.175189252,,,
1684.5,-0.188921505,,,
1694.5,-0.174842685,,,
1704.5,-0.151325842,,,
1714.5,-0.145999977,,,
1724.5,-0.140923593,,,
1734.5,-0.108723216,,,
1744.5,-0.113621445,,,
1754.5,-0.095074515,,,
1764.5,-0.119874811,,,
1774.5,-0.107240325,,,
1784.5,-0.102572031,,,
1794.5,-0.051871049,,,
1804.5,-0.044789449,,,
1814.5,-0.058607298,,,
1824.5,-0.066900152,,,
1834.5,-0.062506544,,,
1844.5,-0.07333397,,,
1854.5,-0.129522578,,,
1864.5,-0.162390205,,,
1874.5,-0.158973496,,,
1884.5,-0.152342293,,,
1894.5,-0.153088909,,,
1904.5,-0.142091037,,,
1914.5,-0.130040921,,,
1924.5,-0.107681184,,,
1934.5,-0.08437954,,,
1944.5,-0.076616691,,,
1954.5,-0.074920882,,,
1964.5,-0.07271016,,,
1974.5,-0.087292917,,,
1984.5,-0.1314693,,,
1994.5,-0.107324167,,,
2004.5,-0.120089826,,,
2014.5,-0.107151651,,,
2024.5,-0.101372009,,,
2034.5,-0.101662586,,,
2044.5,-0.096007467,,,
2054.5,-0.096930934,,,
2064.5,-0.091522977,,,
2074.5,-0.099456305,,,
2084.5,-0.075413511,,,
2094.5,-0.090666375,,,
2104.5,-0.104462489,,,
2114.5,-0.147168673,,,
2124.5,-0.166947238,,,
2134.5,-0.194749335,,,
2144.5,-0.169902957,,,
2154.5,-0.161482965,,,
2164.5,-0.129334609,,,
2174.5,-0.10431668,,,
2184.5,-0.077074083,,,
2194.5,-0.075672397,,,
2204.5,-0.091382209,,,
2214.5,-0.073673903,,,
2224.5,-0.088035326,,,
2234.5,-0.06578609,,,
2244.5,-0.048992656,,,
2254.5,-0.037898089,,,
2264.5,-0.031562094,,,
2274.5,-0.010965883,,,
2284.5,-0.017339367,,,
2294.5,-0.019535998,,,
2304.5,-0.012744451,,,
2314.5,-0.025567161,,,
2324.5,-0.010613342,,,
2334.5,-0.036264068,,,
2344.5,-0.035946873,,,
2354.5,-0.021925757,,,
2364.5,-0.021786046,,,
2374.5,-0.02166788,,,
2384.5,-0.028201553,,,
2394.5,-0.036992221,,,
2404.5,-0.055641631,,,
2414.5,-0.089866646,,,
2424.5,-0.115776389,,,
2434.5,-0.116094769,,,
2444.5,-0.087568472,,,
2454.5,-0.072546375,,,
2464.5,-0.077267331,,,
2474.5,-0.049795818,,,
2484.5,-0.044456021,,,
2494.5,-0.049834296,,,
2504.5,-0.04507389,,,
2514.5,-0.054342277,,,
2524.5,-0.060464889,,,
2534.5,-0.048178041,,,
2544.5,-0.038204125,,,
2554.5,-0.051066763,,,
2564.5,-0.021380073,,,
2574.5,-0.013235813,,,
2584.5,-0.026944905,,,
2594.5,-0.026586364,,,
2604.5,-0.010726009,,,
2614.5,-8.12E-03,,,
2624.5,8.37E-03,,,
2634.5,7.90E-03,,,
2644.5,-7.24E-03,,,
2654.5,8.90E-04,,,
2664.5,-0.010990067,,,
2674.5,0.01389539,,,
2684.5,-9.25E-03,,,
2694.5,-0.011698101,,,
2704.5,-0.014802436,,,
2714.5,-0.013318506,,,
2724.5,-8.26E-04,,,
2734.5,9.77E-03,,,
2744.5,0.0181239,,,
2754.5,0.019716246,,,
2764.5,0.027799256,,,
2774.5,0.019817316,,,
2784.5,2.58E-03,,,
2794.5,-0.017535294,,,
2804.5,-0.040963468,,,
2814.5,-0.071783699,,,
2824.5,-0.101558268,,,
2834.5,-0.087183961,,,
2844.5,-0.051067895,,,
2854.5,-0.025075844,,,
2864.5,-4.26E-03,,,
2874.5,3.26E-03,,,
2884.5,-7.59E-03,,,
2894.5,-0.010781492,,,
2904.5,-0.041946549,,,
2914.5,-0.078437803,,,
2924.5,-0.082461682,,,
2934.5,-0.096886497,,,
2944.5,-0.089526705,,,
2954.5,-0.085300335,,,
2964.5,-0.07750135,,,
2974.5,-0.075627958,,,
2984.5,-0.083216463,,,
2994.5,-0.078880222,,,
3004.5,-0.051984379,,,
3014.5,-0.050971768,,,
3024.5,-0.031637848,,,
3034.5,-0.02557012,,,
3044.5,-0.038513864,,,
3054.5,-0.039817266,,,
3064.5,-0.070710033,,,
3074.5,-0.093644276,,,
3084.5,-0.05463452,,,
3094.5,-0.040680577,,,
3104.5,-0.020460079,,,
3114.5,-0.0291798,,,
3124.5,-0.036348363,,,
3134.5,-0.047098073,,,
3144.5,-0.061861204,,,
3154.5,-0.060239698,,,
3164.5,-0.051121755,,,
3174.5,-0.035664129,,,
3184.5,-0.036325901,,,
3194.5,-0.026307364,,,
3204.5,-0.047754169,,,
3214.5,-0.08706913,,,
3224.5,-0.099944599,,,
3234.5,-0.083417436,,,
3244.5,-0.082935998,,,
3254.5,-0.057651785,,,
3264.5,-0.037740972,,,
